property_id,property_address,owner,bucket_keyword,warehouse_score,signals,is_developer_likely,mailing_address
711766,7200 INTERSTATE HY 35 78752,A M PETROLEUM INC,,2,cluster:10; concentration:10,,1900 E ANDERSON LN STE 103 AUSTIN TX 787521979
783898,3926 ED BLUESTEIN BLVD 78723,A M PETROLEUM INC,,2,cluster:10; concentration:10,,1900 E ANDERSON LN STE 103 AUSTIN TX 787521979
815279,1913 BEN WHITE BLVD AUSTIN 78704,A M PETROLEUM INC,,2,cluster:10; concentration:10,,1900 E ANDERSON LN STE 103 AUSTIN TX 787521979
823841,5511 CAMERON RD AUSTIN 78723,A M PETROLEUM INC,,2,cluster:10; concentration:10,,1900 E ANDERSON LN STE 103 AUSTIN TX 787521979
888432,6506 DECKER LN AUSTIN 78724,A M PETROLEUM INC,,2,cluster:10; concentration:10,,1900 E ANDERSON LN STE 103 AUSTIN TX 787521979
297490,ABS 585 SUR 502 NUNEZ G ACR 1.570,AM PETROLEUM INC,,2,cluster:10; concentration:5,,1900 E ANDERSON LN STE 103 AUSTIN TX 787521979
298842,9111 F M RD 812 78719,AM PETROLEUM INC,,2,cluster:10; concentration:5,,1900 E ANDERSON LN STE 103 AUSTIN TX 787521979
538485,6575 DECKER LN AUSTIN 78724,AM PETROLEUM INC,,2,cluster:10; concentration:5,,1900 E ANDERSON LN STE 103 AUSTIN TX 787521979
800763,6575 DECKER LN C-101 AUSTIN 78724,AM PETROLEUM INC,,2,cluster:10; concentration:5,,1900 E ANDERSON LN STE 103 AUSTIN TX 787521979
910362,6575 DECKER LN C-104 AUSTIN 78724,AM PETROLEUM INC,,2,cluster:10; concentration:5,,1900 E ANDERSON LN STE 103 AUSTIN TX 787521979
188556,412 SPENCER LN 78702,ARTPOST ARMADILLOS PROPERTIES LLC,,2,cluster:21; concentration:7,,2311 ENFIELD RD AUSTIN TX 787033225
188557,4926 CESAR CHAVEZ ST 78702,ARTPOST ARMADILLOS PROPERTIES LLC,,2,cluster:21; concentration:7,,2311 ENFIELD RD AUSTIN TX 787033225
188558,4904 CESAR CHAVEZ ST 78702,ARTPOST ARMADILLOS PROPERTIES LLC,,2,cluster:21; concentration:7,,2311 ENFIELD RD AUSTIN TX 787033225
188561,4704 CESAR CHAVEZ ST 78702,ARTPOST ARMADILLOS PROPERTIES LLC,,2,cluster:21; concentration:7,,2311 ENFIELD RD AUSTIN TX 787033225
188562,4620 CESAR CHAVEZ ST 78702,ARTPOST ARMADILLOS PROPERTIES LLC,,2,cluster:21; concentration:7,,2311 ENFIELD RD AUSTIN TX 787033225
188564,403 SPRINGDALE RD 78702,ARTPOST ARMADILLOS PROPERTIES LLC,,2,cluster:21; concentration:7,,2311 ENFIELD RD AUSTIN TX 787033225
188572,4715 5 ST 78702,ARTPOST ARMADILLOS PROPERTIES LLC,,2,cluster:21; concentration:7,,2311 ENFIELD RD AUSTIN TX 787033225
248232,18407 F M RD 1100 78653,ATX ELGIN DEV LLC,,2,cluster:15; concentration:14,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
979300,ASHTON LOOK DR 78621,ATX ELGIN DEV LLC,,2,cluster:15; concentration:14,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
979307,BRIAR BRUSH LN 78621,ATX ELGIN DEV LLC,,2,cluster:15; concentration:14,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
979322,BRIAR BRUSH LN 78621,ATX ELGIN DEV LLC,,2,cluster:15; concentration:14,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
979358,WHEAT SEED LN 78621,ATX ELGIN DEV LLC,,2,cluster:15; concentration:14,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
979359,CORNER BRAKE LN 78621,ATX ELGIN DEV LLC,,2,cluster:15; concentration:14,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
979382,SCARLETT SONG DR 78621,ATX ELGIN DEV LLC,,2,cluster:15; concentration:14,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
979401,WHEAT SEED LN 78621,ATX ELGIN DEV LLC,,2,cluster:15; concentration:14,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
